Intel 80386 Opcode*;;Custom Opcode;;;;HEX;Instruction;;Operand 1;;Operand Type;;Operand 2;;Operand Type;;Notes;;;;;;;;
;;0000;0000;0000;0000;0000;MACHINE ZERO;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0000;0000;0000;0001;0000;0000;0100;ADD;;register;;byte;;general register;;;;;;;;;;;;
;;0000;0001;0000;0001;0101;ADD;;displacement;;byte;;general register;;;;address is in displacement;;;;;;;;
;;0000;0001;0000;0010;0102;ADD;;base reg;;byte;;general register;;;;address is in base register (general);;;;;;;;
;;0000;0001;0000;0011;0103;ADD;;base + displacement;;byte;;general register;;;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0001;0000;0100;0104;ADD;;(Index*Scale)+Disp;;byte;;general register;;;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0000;0001;0000;0001;0001;0000;0110;ADD;;register;;word;;general register;;;;;;;;;;;;
;;0000;0001;0001;0001;0111;ADD;;displacement;;word;;general register;;;;address is in displacement;;;;;;;;
;;0000;0001;0001;0010;0112;ADD;;base reg;;word;;general register;;;;address is in base register (general);;;;;;;;
;;0000;0001;0001;0011;0113;ADD;;base + displacement;;word;;general register;;;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0001;0001;0100;0114;ADD;;(Index*Scale)+Disp;;word;;general register;;;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;0000;0001;0001;1000;0118;ADD;;register;;double word;;general register;;;;;;;;;;;;
;;0000;0001;0001;1001;0119;ADD;;displacement;;double word;;general register;;;;address is in displacement;;;;;;;;
;;0000;0001;0001;1010;011A;ADD;;base reg;;double word;;general register;;;;address is in base register (general);;;;;;;;
;;0000;0001;0001;1011;011B;ADD;;base + displacement;;double word;;general register;;;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0001;0001;1100;011C;ADD;;(Index*Scale)+Disp;;double word;;general register;;;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0000;0010;0000;0001;0010;0000;0120;ADD;;general register;;;;register;;byte;;;;;;;;;;
;;0000;0001;0010;0001;0121;ADD;;general register;;;;displacement;;byte;;address is in displacement;;;;;;;;
;;0000;0001;0010;0010;0122;ADD;;general register;;;;base reg;;byte;;address is in base register (general);;;;;;;;
;;0000;0001;0010;0011;0123;ADD;;general register;;;;base + displacement;;byte;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0001;0010;0100;0124;ADD;;general register;;;;(Index*Scale)+Disp;;byte;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0000;0011;0000;0001;0011;0000;0130;ADD;;general register;;;;register;;word;;;;;;;;;;
;;0000;0001;0011;0001;0131;ADD;;general register;;;;displacement;;word;;address is in displacement;;;;;;;;
;;0000;0001;0011;0010;0132;ADD;;general register;;;;base reg;;word;;address is in base register (general);;;;;;;;
;;0000;0001;0011;0011;0133;ADD;;general register;;;;base + displacement;;word;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0001;0011;0100;0134;ADD;;general register;;;;(Index*Scale)+Disp;;word;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;0000;0001;0011;1000;0138;ADD;;general register;;;;register;;double word;;;;;;;;;;
;;0000;0001;0011;1001;0139;ADD;;general register;;;;displacement;;double word;;address is in displacement;;;;;;;;
;;0000;0001;0011;1010;013A;ADD;;general register;;;;base reg;;double word;;address is in base register (general);;;;;;;;
;;0000;0001;0011;1011;013B;ADD;;general register;;;;base + displacement;;double word;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0001;0011;1100;013C;ADD;;general register;;;;(Index*Scale)+Disp;;double word;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
